,score,Book
1273,3,Ikigai
1274,1,Ikigai
1275,0,Ikigai
1276,4,Ikigai
1277,4,Ikigai
1278,1,Ikigai
1279,2,Ikigai
1280,2,Ikigai
1281,2,Ikigai
1282,2,Ikigai
1283,2,Ikigai
1284,1,Ikigai
1285,1,Ikigai
1286,2,Ikigai
1287,3,Ikigai
1288,1,Ikigai
1289,1,Ikigai
1290,5,Ikigai
1291,0,Ikigai
1292,0,Ikigai
1293,3,Ikigai
1294,-1,Ikigai
1295,4,Ikigai
1296,3,Ikigai
1297,4,Ikigai
1298,2,Ikigai
1299,1,Ikigai
1300,3,Ikigai
1301,1,Ikigai
1302,2,Ikigai
1303,0,Ikigai
1304,3,Ikigai
1305,3,Ikigai
1306,2,Ikigai
1307,2,Ikigai
1308,2,Ikigai
1309,2,Ikigai
1310,2,Ikigai
1311,0,Ikigai
1312,2,Ikigai
1313,3,Ikigai
1314,0,Ikigai
1315,4,Ikigai
1316,2,Ikigai
1317,0,Ikigai
1318,0,Ikigai
1319,2,Ikigai
1320,1,Ikigai
1321,2,Ikigai
1322,3,Ikigai
1323,2,Ikigai
1324,1,Ikigai
1325,1,Ikigai
1326,0,Ikigai
1327,2,Ikigai
1328,5,Ikigai
1329,3,Ikigai
1330,3,Ikigai
1331,-1,Ikigai
1332,3,Ikigai
1333,2,Ikigai
1334,3,Ikigai
1335,0,Ikigai
1336,1,Ikigai
1337,4,Ikigai
1338,1,Ikigai
1339,4,Ikigai
1340,3,Ikigai
1341,0,Ikigai
1342,0,Ikigai
1343,0,Ikigai
1344,2,Ikigai
1345,3,Ikigai
1346,1,Ikigai
1347,1,Ikigai
1348,1,Ikigai
1349,3,Ikigai
1350,3,Ikigai
1351,3,Ikigai
1352,0,Ikigai
1353,-1,Ikigai
1354,1,Ikigai
1355,1,Ikigai
1356,2,Ikigai
1357,1,Ikigai
1358,2,Ikigai
1359,0,Ikigai
1360,1,Ikigai
1361,2,Ikigai
1362,0,Ikigai
1363,0,Ikigai
1364,0,Ikigai
1365,1,Ikigai
1366,2,Ikigai
1367,1,Ikigai
1368,1,Ikigai
1369,1,Ikigai
1370,2,Ikigai
1371,0,Ikigai
1372,2,Ikigai
1373,0,Ikigai
1374,0,Ikigai
1375,2,Ikigai
1376,-2,Ikigai
1377,1,Ikigai
1378,1,Ikigai
1379,1,Ikigai
1380,2,Ikigai
1381,0,Ikigai
1382,4,Ikigai
1383,1,Ikigai
1384,1,Ikigai
1385,4,Ikigai
1386,2,Ikigai
1387,1,Ikigai
1388,0,Ikigai
1389,0,Ikigai
1390,2,Ikigai
1391,2,Ikigai
1392,2,Ikigai
1393,0,Ikigai
1394,1,Ikigai
1395,3,Ikigai
1396,4,Ikigai
1397,-1,Ikigai
1398,0,Ikigai
1399,0,Ikigai
1400,0,Ikigai
1401,1,Ikigai
1402,1,Ikigai
1403,1,Ikigai
1404,2,Ikigai
1405,2,Ikigai
1406,1,Ikigai
1407,0,Ikigai
1408,1,Ikigai
1409,1,Ikigai
1410,2,Ikigai
1411,4,Ikigai
1412,0,Ikigai
1413,0,Ikigai
1414,2,Ikigai
1415,2,Ikigai
1416,4,Ikigai
1417,0,Ikigai
1418,1,Ikigai
1419,0,Ikigai
1420,0,Ikigai
1421,4,Ikigai
1422,0,Ikigai
1423,3,Ikigai
1424,1,Ikigai
1425,4,Ikigai
1426,3,Ikigai
1427,1,Ikigai
1428,2,Ikigai
1429,1,Ikigai
1430,1,Ikigai
1431,-1,Ikigai
1432,1,Ikigai
1433,2,Ikigai
1434,3,Ikigai
1435,1,Ikigai
1436,1,Ikigai
1437,1,Ikigai
1438,1,Ikigai
1439,1,Ikigai
1440,1,Ikigai
1441,0,Ikigai
1442,4,Ikigai
1443,3,Ikigai
1444,0,Ikigai
1445,0,Ikigai
1446,0,Ikigai
1447,1,Ikigai
1448,0,Ikigai
1449,4,Ikigai
1450,1,Ikigai
1451,1,Ikigai
1452,1,Ikigai
1453,1,Ikigai
1454,4,Ikigai
1455,3,Ikigai
1456,-1,Ikigai
1457,-1,Ikigai
1458,-2,Ikigai
1459,1,Ikigai
1460,1,Ikigai
1461,1,Ikigai
1462,0,Ikigai
1463,2,Ikigai
1464,0,Ikigai
1465,0,Ikigai
1466,4,Ikigai
1467,1,Ikigai
1468,3,Ikigai
1469,1,Ikigai
1470,1,Ikigai
1471,0,Ikigai
1472,0,Ikigai
1473,3,Ikigai
1474,1,Ikigai
1475,-1,Ikigai
1476,-1,Ikigai
1477,0,Ikigai
1478,3,Ikigai
1479,1,Ikigai
1480,0,Ikigai
1481,1,Ikigai
1482,0,Ikigai
1483,0,Ikigai
1484,1,Ikigai
1485,0,Ikigai
1486,2,Ikigai
1487,0,Ikigai
1488,2,Ikigai
1489,2,Ikigai
1490,1,Ikigai
1491,2,Ikigai
1492,1,Ikigai
1493,0,Ikigai
1494,0,Ikigai
1495,3,Ikigai
1496,1,Ikigai
1497,2,Ikigai
1498,2,Ikigai
1499,3,Ikigai
1500,2,Ikigai
1501,5,Ikigai
1502,0,Ikigai
1503,0,Ikigai
1504,2,Ikigai
1505,2,Ikigai
1506,0,Ikigai
1507,0,Ikigai
1508,0,Ikigai
1509,4,Ikigai
1510,5,Ikigai
1511,0,Ikigai
1512,5,Ikigai
1513,2,Ikigai
1514,2,Ikigai
1515,2,Ikigai
1516,3,Ikigai
1517,0,Ikigai
1518,-1,Ikigai
1519,0,Ikigai
1520,5,Ikigai
1521,3,Ikigai
1522,3,Ikigai
1523,4,Ikigai
1524,1,Ikigai
1525,-1,Ikigai
1526,0,Ikigai
1527,0,Ikigai
1528,3,Ikigai
1529,0,Ikigai
1530,1,Ikigai
1531,-1,Ikigai
1532,2,Ikigai
1533,-1,Ikigai
1534,0,Ikigai
1535,1,Ikigai
1536,1,Ikigai
1537,3,Ikigai
1538,1,Ikigai
1539,1,Ikigai
1540,3,Ikigai
1541,5,Ikigai
1542,2,Ikigai
1543,0,Ikigai
1544,2,Ikigai
1545,0,Ikigai
1546,1,Ikigai
1547,1,Ikigai
1548,1,Ikigai
1549,4,Ikigai
1550,1,Ikigai
1551,0,Ikigai
1552,0,Ikigai
1553,3,Ikigai
1554,0,Ikigai
1555,1,Ikigai
1556,0,Ikigai
1557,1,Ikigai
1558,2,Ikigai
1559,1,Ikigai
1560,0,Ikigai
1561,4,Ikigai
1562,1,Ikigai
1563,0,Ikigai
1564,1,Ikigai
1565,1,Ikigai
1566,4,Ikigai
1567,0,Ikigai
1568,0,Ikigai
1569,4,Ikigai
1570,2,Ikigai
1571,1,Ikigai
1572,1,Ikigai
1573,-1,Ikigai
1574,1,Ikigai
1575,1,Ikigai
